cx_id,company_name,customer_fname,customer_lname,city,state,address,zip,email,phone_num,valid_support,notes
40035114,Bode-Runolfsdottir,Maritsa,Umney,Tacoma,Washington,4 1st Drive,98464,mumney0@list-manage.com,2537142992,,
40069981,Rogahn-Greenfelder,Chere,Lush,Montgomery,Alabama,61 Montana Road,36125,clush1@lulu.com,3346580750,,
40027532,Olson Group,Faina,Deftie,Billings,Montana,786 3rd Terrace,59112,fdeftie2@si.edu,4067856636,,
40028289,Green and Sons,Keith,Croyden,Charlotte,North Carolina,7 Sauthoff Alley,28247,kcroyden3@google.co.jp,7047464693,,
40072987,"Huel, Jones and Nikolaus",Priscella,Flowers,Camden,New Jersey,92 Rockefeller Lane,08104,pflowers4@wordpress.org,8568535719,,
40011693,Pouros-Botsford,Natasha,Slatford,El Paso,Texas,4 Jana Parkway,79955,nslatford5@google.com.au,9151375976,,
40038182,"Will, MacGyver and Lehner",Waylin,Sobtka,South Lake Tahoe,California,187 Westridge Crossing,96154,wsobtka6@freewebs.com,5304969300,,
40055294,Gaylord Inc,Irwin,Finding,Washington,District of Columbia,5883 Lien Court,20566,ifinding7@squidoo.com,2028058285,,
40087512,O'Keefe-Kohler,Jeremias,Fraine,San Diego,California,4203 Kipling Place,92145,jfraine8@plala.or.jp,6199658689,,
40088819,Rutherford-Hills,Lindsay,Jeppe,Saint Augustine,Florida,6060 International Way,32092,ljeppe9@ezinearticles.com,9049622357,,
40035747,Von-Marquardt,Mylo,Clewlow,Louisville,Kentucky,85071 Tony Center,40293,mclewlowa@latimes.com,5022304162,,
40037785,Sanford-Hettinger,Nicolais,Snelman,Jeffersonville,Indiana,0 Anniversary Hill,47134,nsnelmanb@flickr.com,8121610324,,
40007073,Hauck LLC,Chery,Johananov,Flushing,New York,400 Rieder Hill,11388,cjohananovc@businessweek.com,9179634585,,
40065430,"Paucek, VonRueden and Lockman",Fredra,Bruno,Everett,Washington,448 Graedel Place,98206,fbrunod@va.gov,4259858739,,
40097517,Mitchell Inc,Corrinne,Megson,Tulsa,Oklahoma,17 Harper Terrace,74126,cmegsone@baidu.com,9189745833,,
